name,Current_category,description,Installs,mark
ru.megafon.rostov.beacons,Communication,"This application helps guests of the International Economic Forum in Sochi. It contains on-line information about forum activities as well as a map of the building. Using radio (bluetooth) beacons, MayakMF helps forum guests to locate themselves in the building.
",50,0
com.scr.truckplaza,Maps & Navigation,"Commercial driver's safe haven availability in California. Truckers helping truckers find a safe and available location when they need to, or are required to, get some rest. Every truck stop, every rest area, and other spots to take a load off - all with a driver's ratings system to capture feedback about the parking conditions on site. Plus a few extras, and more on the way. Put this app on your phone, share what you see at these locations, and help make work better for truckers who need a place to park.
",,0
com.modiface.eyescolor,Health & Fitness,"Eye Color Changer is the perfect app for you to try out hundreds of eye colors and effects 
on your own photo. You can have green eyes or blue eyes! You can even have one of each! Do you want to try out cat eyes? How about adding some flame effects? With Eye Color Studio, you can try all of these and many more effects with just a simple click.
Eye Color Studio is packed with photo-realistic effects such as standard color contacts, 
exotic contacts, scary eye effects, and alien/animal eyes just to name a few. It also comes with our favorite “create-your-own” feature! That’s right, you can create your own eye color effect by uploading a photo of a friend, a pet, or anything else that you like! As an added bonus, you can also draw on it! You should definitely give it a try today!
★ Features ★
★ Simulate hundreds of photo-realistic eye colors on any photo
★ Over 150 eye colors (simple, marble, electric, specs, exotic, animal, alien, and more!!)
★ Create your own eye color from photo gallery
★ Adjust opacity of each eye color effect
★ Upload a photo from photo gallery, Facebook, and camera
★ Automatic eye detection and adjustment
★ Brightness and contrast adjustments
★ Save photo to gallery
★ Share photo on Facebook or other social network
We are very excited to launch this ultimate eye coloring app for FREE! So, why not download it today and discover for yourself why it is loved by over 3 million Android users! We would also appreciate your feedback!
",1000,1
com.sinemia.app,Lifestyle,"With Sinemia, you can easily access all of the information and services in the world of cinema, socialize, and enjoy unique movie content whenever you want.
As a member of Sinemia Premium, you can watch movies in every major movie theaters, all while benefiting from exclusive Sinemia Premium privileges.
Sinemia mobile app features:
? Create, share, like, and follow lists of the movies, celebrities, and directors. 
? Discover the latest trending movie recommendations, lists, celebrities, and directors.
? Get the most up-to-date posts with lists, celebrities, and people you follow.
? Find showtimes for nearby movie theaters.
Sinemia Premium features:
? Watch free movies in major movie theaters, in accordance to the package you’ve selected.
? Go to any movie theater you want and get your ticket for the showtime you want.
? You can even buy your ticket in advance while you are at home with advance ticket feature.
? Watch the latest blockbusters anytime and never miss a new release again.
? Choose the showtimes you want, on the day you want, and enjoy movies whenever you want.
? Participate in private premieres and galas and experience every aspect of the colorful world of cinema with Sinemia.
Follow Sinemia on:
Facebook: https://www.facebook.com/SinemiaApp
Twitter: https://twitter.com/SinemiaApp
Instagram: https://www.instagram.com/SinemiaApp
Sometimes we want to get away from the life we are in, to hear and see different stories, and to share the lives of heroes on the silver screen. In the movie theater, we freeze time and start living in the moment. With Sinemia Premium, you can have this unique experience anytime you want, anywhere you want. Don’t just live in the moment at the movies, start living with Sinemia and lead an exciting life full of special surprises.
",500000,1
com.Luna.Tropical.Wallpaper,Productivity,"There is a full gallery of carefully selected Tropical Wallpaper for you to set them on all your mobile devices. Our galleries includes the best of different amazing wallpapers for smart mobile phones. Personalize your mobile with the beautiful Tropical Wallpaper and have an unusual ambiance and mood on your phone.
The app features:
- contains wallpaper for mobile use
- You can set Tropical Wallpaper as background image
- Save phone wallpapers to SD Card (memory card)
- Doesn't need internet connection to view and use the wallpapers!
- It is completely free
- Easy to share the Tropical Wallpaper on social networks, emails or messaging apps like whatsapp
We have selected the best and most beautiful:
and included them in our application.
PS 1: This is not a live Tropical Wallpaper application or a wallpaper hd app. But some of the images are hd wallpapers.
PS 2: Do not forget to rate our app after using it.
=================================================================================
Disclaimer: All the trademarks and copyrights are reserved to the respective owners . Contents compiled from various internet sources.
If you have the feeling there is a copyright or trademark violation direct that does not follow Within the ""fair use"" guidelines , please kindly contact us via the email below.
",500,1
com.apk.goinfast,Entertainment,"From the hit game Sanic Hedg Heg comes the new companion app, GOT2GOFAST! Experience the thrill of going fast jus' like Sanic do. Have Sanic cheer you on as your fast gets even faster. R U 2 slow? Then download this garbage.
",50000,0
hr.apps.n166987215,News & Magazines,"All the latest news, events and photos from The Old Peninsula School Association. Included in this application are Twitter, Facebook and website links, as well as TOPSA affiliated sporting club fixtures and events.
",50,0
com.messi.hdwallpapersm,Tools,"Messi Wallpapers is a free Wallpapers Application that has huge selections of wallpapers for Messi with
high quality Wallpapers optimized for all android devices and tablets resolutions.
Features 
? Wallpapers for Messi Wallpapers different categories
? Optimized for all resolutions on tablets/phones up to Ultra HD quality
? 5 Categories for the time being ( will add more later )
? Updated Wallpapers Each Week without updating the app, we control it via server.
Copyrights 
All Wallpapers Were Collected from Various Resources And available only for Personal Usage With the Application , All wallpapers have copyright of its original copyright holder , If you Believe that there is A copyright infringement Please contact us via email: hoaphan2018@gmail.com
",500000,1
LiveWallpapers.gangstamoneylivewallpapergamelwp,Game,"Gangsta Game Live Wallpaper – Experience the Mobster Lifestyle..
From Live Wallpapers the Best Wallpaper Design Company
Feel like a Gangtsa – Get the Gangtsa Experience now with this exclusive Money Gangsta Game Live Wallpaper. Tap the falling Cash to release it to you and when you have made enough Money you will unlock some really Gangsta Guns for your fellow Gang Members, 5 Wicked Guns in this free version and 30 Mean Guns in the low cost Upgraded version. The Upgraded version also has other settings such as Money Speed – Have more money rain down so you can make loads more Gangtsa Money and live that lifestyle.
In This Upgraded Version you'll find all the settings and make truck loads more Money for your gang and buy the best Guns for your loyal Gangtsas!
Install our Money Gangsta Game Live Wallpaper direct to your phone/tablet Now - Click Buy on the left.
",,0
appinventor.ai_victorisla.CanarTraduc,Entertainment,"Translate from Canary islands language to swedish, english and spanish
",500,1
