name,Current_category,description,Installs,classification_mark,Correct_Category
com.app.bikini,Photography,"[Bikini]Body shaping application for women.Are you ready for Bikini?Bikini offers easier correction functions than the photoshop.Let＊s Bikini!Few touches can make your shape like a model!This summer, take photos without worries.Bikini will be with you![Main features]+ Height Correction - To be a good figure, proportion is important. Bikini extends your legs to look similar to runway models.+ Face Reduction - With an amazing function of Bikini, your face size will naturally reduce.+ Breast Enlargement - Take a photo with confidence! You will have glamorous breasts.+ Body Shaping - Waist and hip correction will shape your fantastic body.+ Slim down - Did exercises help you have slim arms and legs? Bikini will!Do Bikini to wear a bikini!The essential application for vacation- BikiniContacts: minipleand@gmail.com--------image source :Leather fashion, free-photos.gatag.net, flickr - David holt",5000000,0,
com.brightai.lottery,Books & Reference,"Check Powerball, MegaMillions, Lotto, Raffle, Euromillions, Irish, Thunderball & Hotpicks results with the No. 1 Lottery Results App - available on both mobile & tablet.Over 1 million downloads - get it now and check your lottery numbers on the move!""Brilliant app. All the lottery numbers. Excellent.""""You can't improve on an app that's perfect""Check the latest draws and past results for the following game:∴ POWERBALL∴ MEGAMILLIONS∴ LOTTO∴ LOTTO RAFFLE∴ LOTTO HOTPICKS∴ EUROMILLIONS∴ EUROMILLIONS RAFFLE∴ THUNDERBALL∴ HEALTH LOTTERY∴ IRISH LOTTOLottery Results Features:∴ Updated Lottery Results available right after the draw including MegaMillions & Powerball∴ Prize Breakdown for every draw!∴ Record your numbers∴ Automatically check if your numbers win∴ Lucky Dip? Use the Number Generator to create your very own lucky dipIn addition to providing fast and accurate lottery results, the app also offers other unique and handy features:SAVE & CHECK YOUR NUMBERSA convenient way to record the numbers you have played and the app will automatically check if you win.NUMBER GENERATORFeeling lucky? Can't decide what numbers to play? Let the app pick the numbers for you using the Number Generator and save them directly into ""My Numbers"".LOTTERY NEWS Get the latest lottery news headlines, gossip, tips and success stories.LOTTERY STATSFind out which numbers are most likely to win with our unique Lottery Number Frequency. ** The Lottery Results app requires a Wi-Fi or Data network for some of its content. Please ensure you have an Internet connection before launching this application**We want to make Lottery Results app better for our users so please feel free to send us your comments and suggestions using the Feedback form within the app or our support forum.Visit the Lottery Results website (http://www.lotterytickets.me) or follow us on Twitter @LotteryResultsUK(https://twitter.com/lotteryresultuk) or Facebook (https://www.facebook.com/LotteryResultUK)Disclaimer:-- Always check your tickets with the official lottery service provider to confirm any possible winnings.- All descriptions, names, characters, locations, imagery and videos in this application are copyright of their respective owners.",5000000,0,
air.beingfashiondesigner,Game,"The latest fashion show is coming. Come to design several pretty and stylish dresses for your model. Choose faddish dress style, paint beautiful pattern and dress up the model. Tonight you are the most excellent fashion designer.",5000000,0,
DOCECG2.doctor,Medical,"Learn to identify different types of electrocardiogram, ideal for students.Include brief explanations of the graphs.",5000000,0,
com.android.bartender,Food & Drink,"Bartender is your personal drink-making assistant.Drinks can be easily viewed, rated, marked as favorite, filtered by title and searched through two different modes. New recipes can be submitted and shared.",5000000,0,
com.artwallpapers.clashwallpapers,Lifestyle,"Fanart Clash of Clan Wallpapers HDProvide 1000+ HD Clash of Clans Wallpapers and Clash Royale for your device: Baby Dragon, Barbarian, Wizard, Pekka, Bomber, Goblin＃ all heroes, awesome screen background, everything about and Clash of Clans Wallpapers and Clash Royale Wallpapers.FEATURES:? Clash of Clans Wallpapers HD, Clash Royale Wallpapers HD ? Optimized battery usage.? Unique design.? Make your favorites list.? You can Download any Wallpaper you want.? You can Share to Facebook, Twitter, Google+, Pinterest, Tumblr, Flickr, Stumble, Instagram＃ with your friends.Download and Enjoy the amazing heroes you like best.Share this app to your friends who love Clash Royale or Clash of Clans like you.We look forward to hearing your feedback.DISCLAIMER:This app is made by clash of clans fans, and it is unofficial. The content in this app is not affiliated with, endorsed, sponsored, or specifically approved by any company. This app is mainly for entertainment and for all clan of clan and clash royale fans to enjoy these Clash Wallpapers.",5000000,1,Personalization
com.AnatomyLearning.Anatomy3DViewer3,Medical,"-If the app is not compatible with your device you can still enjoy our PC and Mac version through wwww.AnatomyLearning.com Please READ the FAQ before request a feature.... Comments, suggestions and help: webmaster@anatomylearning.com﹞﹞﹞ Langua",5000000,0,
bizomobile.actionmovie.free,Video Players & Editors,"Do you want to be an action movie director? Now you can!! With Movie Booth FX Free you can edit your mobile video. Just shoot a movie, select the best moment and add a special movie FX! This App Includes only free best effects! ∴∴∴ FX are grouped in 3 categories:- Action- Sci-Fi- Horror∴∴∴ You will get 32 effects for FREE!For example: Mad Woman, Blow up Dinamite, Missle Atack, Flame Thrower, Sniper and more!In the end you can share your video on Facebook, e-mail or save to SD Card!Credits:record icon made by http://www.flaticon.com",5000000,0,
com.androiddevelopermx.blogspot.muscles3d,Medical,"Shows a three-dimensional models of Muscular System and a description of every muscle in the human body. Tapping a muscle with your fingers, it will show the correspondiente information.features: Zooming. Hide or display the information. elevation change you can see horizontal or vertical",1000000,0,
air.com.screenpapermedia.basic.mobile.launchday.callofduty,News & Magazines,"Get a special behind-the-scenes look at Call of Duty: Advanced Warfare from the editors of Walmart GameCenter magazine! Inside this digital guide you will meet the developers who brought this new game to life and get access to interviews, videos, and much more! It's the perfect companion guide for all fans of Call of Duty: Advanced Warfare.",5000000,0,
an.password.locker,Personalization,"Password Saver MAIN FEATURES NOTE : This app is only for storing passwords and accounts , but not to hacking*support 24 language.* Securely stores your passwords, web accounts, credit card information and other custom data.* All data is encrypted.* Supports auto destruction of the data file after a predefined number of unsuccessful unlocks have been tried.* Adding modifying and clearing data.* Search within fields.* Supports backup and restore of the encrypted data to (Dropbox & Google Drive)* Password Generator.-------------------------Permissions Explained: ? Network communication : Used for ads & sync data with your (Dropbox, Google) account.? Your accounts : Used for sync data with Google Drive (use google accounts on the device).",1000000,1,Tools
com.Fotos.PhotoEditor,Personalization,"InstaFrame: Photo overlapping allows you to create amazing collages using your photos, fun stickers, backgrounds, text with cool fonts and frames,InstaFrame: Photo overlapping has simple interface and outstanding menu of pre-designed grids make it the best collage appYou will love InstaFrames ,It can work hand in hand with Instagram to quickly produce beautiful results!InstaFrame: Photo overlapping is free and makes sharing pics and collages easy.Instantly and easily create collages, wallpaper and photo albums.Edit pictures in our photo lab and share on Instagram and other places with InstaFrame,This collage Photo maker is incredibly easy to use, try it and see for yourselfPhoto overlapping Editor helps you combine multiple photos with various frame patterns and photo grids, then share them at a time,it packs a simple design with a powerful editor to give you everything you could, and Collage your photos to be amazing!Features:∵ Add multiple pictures in collage .∵ You can re size, rotate, move the photos inside the grid.∵ 60+ amazing magical effects to apply individual photo∵Edit your pictures in different different shapes with border∵Variety of layouts for photo grids, wallpapers, photo walls, albums and overlapping∵Arrange your collages loosely or in a square (for Instagram), wide rectangle, tall rectangle or just use a single photo∵ Beautiful design, both phones and tablets, exclusively for Android!∵ Save high resolution HD photos to your Android phone＊s gallery∵ Put text to your photos∵ well-chosen creative fonts∵ EASY to change color, size, and font∵ High resolution text∵ Amazing collection of custom emojis and stickers∵ Share on Facebook, Twitter, Flickr an",1000000,0,
com.androidlab.videoroad,Auto & Vehicles,"VideoRoad is 2in1 car video camera tool app: it records what you see through your car windshield (DVR, Digital Video Recorder) and records GPS-track.You can setup quality of camera video recordingYou can send recorded video via e-mail, any cloud storage, bluetooth, etc",1000000,0,
